// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

// ---------------------------------------------------------------------------------------------------------------------------------------------------------
//             [0~2]                  [1~255]       [1~255]       [1~255]     [1~255]     [0/N]        [0~7]       [*/N]      [*/N]      [*/N]      [*/N]
// GateIndex   GateFlag   MapNumber   RangeStartX   RangeStartY   RangeEndX   RangeEndY   TargetGate   TargetDir   MinLevel   MaxLevel   MinReset   MaxReset
// ---------------------------------------------------------------------------------------------------------------------------------------------------------
   28          1          2           2             248           3           249         29           0           40         *          *          *
   29          2          4           162           2             166         3           0            5           40         *          *          *
   30          1          4           190           6             191         8           31           0           40         *          *          *
   31          2          4           241           237           244         238         0            1           40         *          *          *
   32          1          4           166           163           167         166         33           0           40         *          *          *
   33          2          4           86            166           87          168         0            3           40         *          *          *
   34          1          4           132           245           135         246         35           0           50         *          *          *
   35          2          4           87            86            88          89          0            3           50         *          *          *
   36          1          4           132           135           135         136         37           0           50         *          *          *
   37          2          4           128           53            131         54          0            1           50         *          *          *
   38          1          4           131           15            132         18          39           0           50         *          *          *
   39          2          4           52            53            55          54          0            1           50         *          *          *
   40          1          4           6             5             7           8           41           0           50         *          *          *
   41          2          4           8             85            9           87          0            1           50         *          *          *
   42          0          4           203           70            213         81          0            0           40         *          *          *
   43          1          4           162           0             166         1           44           0           15         *          *          *
   44          2          2           2             246           3           247         0            2           15         *          *          *
   45          1          3           242           240           245         243         46           0           60         *          *          *
   46          2          7           14            12            15          13          0            3           60         *          *          *
   47          1          7           9             9             11          12          48           0           60         *          *          *
   48          2          3           240           240           241         243         0            7           60         *          *          *
   49          0          7           15            11            27          23          0            0           60         *          *          *
   50          0          6           62            107           63          109         0            0           0          *          *          *
   51          0          6           59            153           59          153         0            0           0          *          *          *
   52          0          6           59            164           59          165         0            0           0          *          *          *
   53          1          7           14            225           15          230         54           0           130        *          *          *
   54          2          8           248           40            251         44          0            7           0          *          *          *
   55          1          8           246           40            247         44          56           0           130        *          *          *
   56          2          7           16            225           17          230         0            3           0          *          *          *
   57          0          8           187           54            203         69          0            0           60         *          *          *
   58          0          9           133           91            141         99          0            0           10         *          *          *
   59          0          9           135           162           142         170         0            0           10         *          *          *
   60          0          9           62            150           70          158         0            0           10         *          *          *
   61          0          9           66            84            74          92          0            0           10         *          *          *
   62          1          4           17            250           19          250         63           0           160        *          *          *
   63          2          10          14            13            16          13          0            5           160        *          *          *
   64          1          10          14            12            16          12          65           0           50         *          *          *
   65          2          4           17            249           19          249         0            1           50         *          *          *
   66          0          11          12            5             14          10          0            0           0          *          *          *
   67          0          12          12            5             14          10          0            0           0          *          *          *
   68          0          13          12            5             14          10          0            0           0          *          *          *
   69          0          14          12            5             14          10          0            0           0          *          *          *
   70          0          15          12            5             14          10          0            0           0          *          *          *
   71          0          16          12            5             14          10          0            0           0          *          *          *
   72          0          2           23            27            27          24          0            0           15         *          *          *
   73          0          2           224           231           227         227         0            0           15         *          *          *
   74          0          2           69            181           72          178         0            0           15         *          *          *
   75          0          7           225           53            228         50          0            0           60         *          *          *
   76          0          7           62            163           68          157         0            0           60         *          *          *
   77          0          8           96            143           100         146         0            0           130        *          *          *
   80          0          17          12            5             14          10          0            0           0          *          *          *
   82          0          18          31            88            36          95          0            0           0          *          *          *
   83          0          19          31            88            36          95          0            0           0          *          *          *
   84          0          20          31            88            36          95          0            0           0          *          *          *
   85          0          21          31            88            36          95          0            0           0          *          *          *
   86          0          22          31            88            36          95          0            0           0          *          *          *
   87          0          23          31            88            36          95          0            0           0          *          *          *
   88          0          24          10            16            17          22          0            0           0          *          *          *
   89          0          25          10            16            17          22          0            0           0          *          *          *
   90          0          26          10            16            17          22          0            0           0          *          *          *
   91          0          27          10            16            17          22          0            0           0          *          *          *
   92          0          28          10            16            17          22          0            0           0          *          *          *
   93          0          29          10            16            17          22          0            0           0          *          *          *
   450         0          40          220           15            235         30          0            0           320        *          *          *
end
