// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

0
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   17             30            156         171         *
   17             30            176         161         *
   17             30            185         161         *
   17             30            181         171         *
   17             30            198         168         *
   17             30            190         172         *
   11             30            227         248         *
   11             30            181         246         *
   14             30            152         247         *
   17             30            128         232         *
   14             30            156         247         *
   12             30            193         224         *
   12             30            194         222         *
   12             30            194         221         *
   11             30            86          150         *
   11             30            98          145         *
   12             30            79          154         *
   12             30            78          189         *
   14             30            97          187         *
   14             30            105         208         *
   14             30            85          208         *
   14             30            84          220         *
   14             30            85          229         *
   12             30            100         198         *
   12             30            95          192         *
   12             30            90          187         *
   14             30            68          227         *
   14             30            61          238         *
   14             30            73          245         *
   12             30            73          241         *
   14             30            3           232         *
   14             30            3           219         *
   14             30            7           219         *
   14             30            17          211         *
   17             30            13          235         *
   17             30            27          236         *
   11             30            45          188         *
   11             30            53          188         *
   11             30            52          166         *
   11             30            62          154         *
   11             30            70          154         *
   11             30            77          152         *
   11             30            110         145         *
   11             30            119         146         *
   11             30            120         159         *
   11             30            111         188         *
   11             30            125         195         *
   11             30            135         196         *
   11             30            144         187         *
   11             30            125         218         *
   17             30            143         232         *
   17             30            50          211         *
   11             30            197         245         *
   11             30            247         211         *
   11             30            231         186         *
   11             30            223         187         *
   11             30            213         186         *
   11             30            209         175         *
   15             30            193         148         *
   15             30            188         145         *
   15             30            206         152         *
   15             30            212         151         *
   17             30            220         172         *
   17             30            247         168         *
   15             30            247         176         *
   17             30            52          222         *
   17             30            50          235         *
   17             30            38          234         *
   17             30            16          227         *
   17             30            25          220         *
   17             30            235         108         *
   17             30            228         105         *
   17             30            214         116         *
   11             30            183         128         *
   15             30            175         127         *
   15             30            175         118         *
   15             30            183         123         *
   5              30            87          114         *
   5              30            65          127         *
   15             30            68          125         *
   15             30            80          97          *
   5              30            70          76          *
   13             30            168         96          *
   13             30            196         100         *
   16             30            240         77          *
   16             30            247         77          *
   16             30            248         20          *
   16             30            244         9           *
   16             30            229         11          *
   8              30            205         24          *
   16             30            155         32          *
   16             30            137         33          *
   16             30            122         29          *
   9              30            118         11          *
   16             30            48          11          *
   9              30            38          23          *
   9              30            160         10          *
   9              30            194         18          *
   9              30            213         12          *
   9              30            221         14          *
   9              30            243         16          *
   9              30            233         66          *
   8              30            39          112         *
   8              30            26          111         *
   8              30            15          113         *
   8              30            12          97          *
   8              30            44          56          *
   10             30            41          88          *
   10             30            19          120         *
   10             30            37          98          *
   9              30            30          105         *
   9              30            27          53          *
   9              30            10          68          *
   9              30            33          90          *
   9              30            12          121         *
   18             30            43          111         *
   18             30            8           123         *
   18             30            7           56          *
   18             30            26          67          *
end
