// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//Index   Type   Name                                 Level   MaxLife   MaxMana   DamageMin   DamageMax   Defense   MagicDefense   AttackRate   DefenseRate   MoveRange   AttackType   AttackRange   ViewRange   MoveSpeed   AttackSpeed   RegenTime   Attribute   ItemRate   MoneyRate   MaxItemLevel   MonsterSkill   Resistance1   Resistance2   Resistance3   Resistance4
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
48        0      "Lizard King"                        70      9000      0         240         270         180       0              350          115           3           3            3             7           400         1600          15          2           175        46          3              0              7             7             7             7  
49        0      "Hydra"                              74      19000     0         250         310         200       0              430          125           3           150          4             7           400         1400          150         2           175        46          3              0              12            12            12            12 
51        0      "Great Bahamut"                      66      7000      0         210         230         150       0              330          98            3           0            2             7           400         1600          15          2           175        46          3              0              6             6             6             6  
52        0      "Silver Valkyrie"                    68      8000      0         230         260         170       0              340          110           3           7            4             7           400         1600          15          2           175        46          3              0              7             7             7             7  
53        0      "Golden Titan"                       53      27500     0         210         220         330       0              248          99            3           150          3             7           400         2000          20          2           200        28          3              0              5             5             5             5  
54        0      "Golden Soldier"                     46      26250     0         192         200         315       0              236          95            3           0            5             7           400         1800          20          2           200        28          3              0              3             3             3             3  
55        0      "Death King"                         88      30000     0         430         500         288       0              360          89            2           0            2             6           400         1800          120         2           110        28          3              0              2             2             2             2  
56        0      "Death Bone"                         24      700       0         85          90          29        0              120          29            3           0            1             5           400         1600          20          2           200        28          4              0              1             1             1             1  
57        0      "Iron Wheel"                         80      17000     0         280         330         215       0              446          150           3           0            4             7           400         1400          10          2           160        100         3              0              9             9             9             9  
58        0      "Tantalos"                           83      22000     0         335         385         250       0              500          175           3           150          2             7           400         1400          20          2           160        100         3              0              9             9             9             9  
59        0      "Zaikan"                             90      34000     0         510         590         400       0              550          185           3           150          5             7           400         1400          150         2           160        100         3              0              13            13            13            15 
60        0      "Bloody wolf"                        76      13500     0         260         300         200       0              410          130           3           0            2             7           400         1400          10          2           170        100         3              0              8             8             8             8  
61        0      "Beam Knight"                        84      25000     0         375         425         275       0              530          190           3           17           4             7           400         1400          20          2           160        100         3              0              10            10            10            10 
62        0      "Mutant"                             72      10000     0         250         280         190       0              365          120           3           0            1             7           400         1400          10          2           170        100         3              0              8             8             8             8  
63        0      "Death Beam Knight"                  93      40000     0         590         650         420       0              575          220           3           150          5             7           400         1400          150         2           130        100         3              0              13            13            13            17 
64        0      "Ogre archer"                        70      10000     0         220         250         170       0              350          115           3           0            4             7           400         1600          10          2           200        28          3              0              7             7             7             7  
65        0      "Elite Ogre"                         74      14000     0         260         290         190       0              400          125           3           150          1             7           400         2000          100         2           180        28          3              0              8             8             8             8  
66        0      "Cursed king"                        86      38000     0         500         570         350       0              525          200           3           150          4             7           400         1400          70          2           200        60          3              0              17            17            17            17 
67        0      "Metal Balrog"                       77      26000     0         300         360         220       0              385          150           3           150          2             7           400         1600          200         2           160        28          3              0              9             9             9             9  
69        0      "Alquamos"                           75      11500     0         255         290         195       0              385          125           3           17           5             5           400         1400          10          2           160        46          3              0              9             9             11            9  
70        0      "Queen Rainier"                      82      19000     0         305         350         230       0              475          160           3           17           3             5           400         1400          10          2           160        46          3              0              9             11            12            9  
71        0      "Mega Crust"                         78      15000     0         270         320         210       0              430          140           3           0            1             5           400         1400          10          2           160        46          3              0              9             9             12            9  
72        0      "Phantom Knight"                     96      41000     0         560         610         425       0              690          270           3           150          2             5           400         1400          10          2           150        46          3              0              14            14            16            14 
73        0      "Drakan"                             86      29000     0         425         480         305       0              570          210           3           150          5             5           400         1400          20          2           160        46          3              0              12            12            13            12 
74        0      "Alpha Crust"                        92      34500     0         489         540         360       0              620          240           3           0            1             5           400         1400          10          2           160        46          3              0              13            13            14            13 
75        0      "Great Drakan"                       100     50000     0         650         700         495       0              800          305           3           150          5             5           400         1400          30          2           140        46          3              0              15            15            17            18 
76        0      "Phoenix Darkness shield"            106     73000     0         850         960         580       0              840          305           3           3            3             5           400         1400          10          2           190        28          3              0              30            30            35            30 
77        0      "Phoenix of Darkness"                108     95000     0         950         1000        600       0              900          350           1           150          6             7           400         1500          150         2           120        46          4              0              30            30            35            30 
78        0      "Golden Goblin"                      30      25000     0         120         125         300       0              225          90            3           0            1             7           400         1400          600         2           10         20          0              0              2             2             2             2  
79        0      "Golden Derkon"                      80      40000     0         350         400         230       0              400          90            3           150          2             7           400         1800          5           2           50         20          0              0              9             7             9             9  
80        0      "Golden Lizard King"                 83      40000     0         350         400         240       0              415          150           3           3            3             7           400         1600          15          2           175        28          3              0              9             7             9             9  
81        0      "Golden Vepar"                       61      28750     0         259         270         345       0              259          104           3           17           4             7           400         1600          8           2           185        28          3              0              0             0             3             0  
82        0      "Golden Tantalos"                    90      50000     0         450         560         400       0              450          185           3           150          2             7           400         1400          70          2           180        60          3              0              9             7             9             9  
83        0      "Golden Wheel"                       77      20000     0         336         350         360       0              320          200           3           0            4             7           400         1400          70          2           180        60          3              0              9             7             9             9  
84        0      "Chief Skeleton Warrior"             64      7500      0         180         220         150       0              340          98            3           0            1             3           400         2000          10          2           300        400         3              0              4             4             4             4  
85        0      "Chief Skeleton Archer"              69      9500      0         200         240         170       0              380          110           3           0            5             7           400         1600          10          2           300        400         3              0              4             4             4             4  
86        0      "Dark Skull Soldier"                 75      12000     0         220         260         190       0              440          130           3           0            1             3           400         2000          10          2           250        300         3              0              4             4             4             4  
87        0      "Giant Ogre"                         79      15000     0         250         290         210       0              500          150           3           17           5             7           400         1600          10          2           250        300         3              0              4             4             4             4  
88        0      "Red Skeleton Knight"                82      18000     0         270         320         290       0              560          170           3           0            1             3           400         2000          10          2           200        200         3              0              4             4             4             4  
89        0      "Magic Skeleton"                     84      24000     0         300         350         360       0              640          200           4           150          4             6           400         1800          10          2           150        100         4              0              7             7             7             7  
90        0      "Chief Skeleton Warrior"             70      12000     0         210         270         185       0              380          125           3           0            1             3           400         2000          10          2           300        400         3              0              5             5             5             5  
91        0      "Chief Skeleton Archer"              75      15000     0         240         300         190       0              420          130           3           0            5             7           400         1600          10          2           300        400         3              0              5             5             5             5  
92        0      "Dark Skull Soldier"                 80      19000     0         280         340         220       0              470          175           3           0            1             3           400         2000          10          2           250        300         3              0              5             5             5             5  
93        0      "Giant Ogre"                         85      23000     0         340         390         300       0              520          190           3           17           5             7           400         1600          10          2           250        300         3              0              5             5             5             5  
94        0      "Red Skeleton Knight"                87      26000     0         370         410         400       0              650          200           3           0            1             3           400         2000          10          2           200        200         3              0              5             5             5             5  
95        0      "Magic Skeleton"                     90      32000     0         400         460         450       0              720          260           4           150          4             6           400         1800          10          2           150        100         4              0              8             8             8             8  
96        0      "Chief Skeleton Warrior"             76      17000     0         260         290         210       0              460          150           3           0            1             3           400         2000          10          2           300        400         3              0              6             6             6             6  
97        0      "Chief Skeleton Archer"              81      20000     0         320         350         270       0              520          160           3           0            5             7           400         1600          10          2           300        400         3              0              6             6             6             6  
98        0      "Dark Skull Soldier"                 86      25000     0         390         420         360       0              580          195           3           0            1             3           400         2000          10          2           250        300         3              0              6             6             6             6  
99        0      "Giant Ogre"                         90      32000     0         440         500         400       0              660          230           3           17           5             7           400         1600          10          2           250        300         3              0              6             6             6             6  
100       0      "Lance"                              80      1000      0         100         110         0         0              400          500           0           0            4             1           500         1000          3           1           200        20          0              0              0             0             0             0  
101       0      "Iron Stick"                         80      1000      0         110         130         0         0              400          500           0           0            0             1           500         1000          3           1           200        20          0              0              0             0             0             0  
102       0      "Fire"                               80      1000      0         130         150         0         0              400          500           0           0            2             1           500         1000          3           1           200        20          0              0              0             0             0             0  
103       0      "Meteorite"                          90      1000      0         160         190         0         0              450          500           0           50           0             1           500         1000          3           1           200        20          0              0              0             0             0             0  
111       0      "Red Skeleton Knight"                94      38000     0         480         540         450       0              720          260           3           0            1             3           400         2000          10          2           200        200         3              0              6             6             6             6  
112       0      "Magic Skeleton"                     99      47000     0         530         580         500       0              840          280           4           150          4             6           400         1800          10          2           150        100         4              0              9             9             9             9  
113       0      "Chief Skeleton Warrior"             85      23000     0         340         390         340       0              520          190           3           0            1             3           400         2000          10          2           300        400         3              0              7             7             7             7  
114       0      "Chief Skeleton Archer"              87      26000     0         390         430         380       0              590          200           3           0            5             7           400         1600          10          2           300        400         3              0              7             7             7             7  
115       0      "Dark Skull Soldier"                 90      32000     0         430         480         400       0              660          230           3           0            1             3           400         2000          10          2           250        300         3              0              7             7             7             7  
116       0      "Giant Ogre"                         93      37000     0         470         520         440       0              730          250           3           17           5             7           400         1600          10          2           250        300         3              0              7             7             7             7  
117       0      "Red Skeleton Knight"                98      45000     0         510         560         490       0              800          270           3           0            1             3           400         2000          10          2           200        200         3              0              7             7             7             7  
118       0      "Magic Skeleton"                     102     55000     0         560         600         550       0              870          310           4           150          4             6           400         1800          10          2           150        100         4              0              10            10            10            10 
119       0      "Chief Skeleton Warrior"             105     29000     0         475         510         440       0              570          250           3           0            1             3           400         2000          10          2           300        400         3              0              8             8             8             8  
120       0      "Chief Skeleton Archer"              106     32000     0         510         555         480       0              640          260           3           0            5             7           400         1600          10          2           300        400         3              0              8             8             8             8  
121       0      "Dark Skull Soldier"                 110     37000     0         600         650         500       0              710          300           3           0            1             3           400         2000          10          2           250        300         3              0              8             8             8             8  
122       0      "Giant Ogre"                         112     45000     0         645         690         540       0              780          310           3           17           5             7           400         1600          10          2           250        300         3              0              8             8             8             8  
123       0      "Red Skeleton Knight"                119     55000     0         780         820         600       0              850          360           3           0            1             3           400         2000          10          2           200        200         3              0              8             8             8             8  
124       0      "Magic Skeleton"                     125     65000     0         830         865         680       0              920          370           4           150          4             6           400         1800          10          2           150        100         4              0              11            11            11            11 
125       0      "Chief Skeleton Warrior"             105     29000     0         475         510         440       0              570          250           3           0            1             3           400         2000          10          2           300        400         3              0              8             8             8             8  
126       0      "Chief Skeleton Archer"              106     32000     0         510         555         480       0              640          260           3           0            5             7           400         1600          10          2           300        400         3              0              8             8             8             8  
127       0      "Dark Skull Soldier"                 110     37000     0         600         650         500       0              710          300           3           0            1             3           400         2000          10          2           250        300         3              0              8             8             8             8  
128       0      "Giant Ogre"                         112     45000     0         645         690         540       0              780          310           3           17           5             7           400         1600          10          2           250        300         3              0              8             8             8             8  
129       0      "Red Skeleton Knight"                119     55000     0         780         820         600       0              850          360           3           0            1             3           400         2000          10          2           200        200         3              0              8             8             8             8  
130       0      "Magic Skeleton"                     125     65000     0         830         865         680       0              920          370           4           150          4             6           400         1800          10          2           150        100         4              0              11            11            11            11 
131       0      "Castle Gate"                        2       2000      0         0           0           0         0              0            1             0           0            0             0           0           0             0           0           0          0           0              0              100           100           100           100
132       0      "Statue of Saint"                    2       3000      0         0           0           0         0              0            1             0           0            0             0           0           0             0           0           0          0           0              0              100           100           100           100
133       0      "Statue of Saint"                    2       3000      0         0           0           0         0              0            1             0           0            0             0           0           0             0           0           0          0           0              0              100           100           100           100
134       0      "Statue of Saint"                    2       3000      0         0           0           0         0              0            1             0           0            0             0           0           0             0           0           0          0           0              0              100           100           100           100
150       0      "Bali"                               52      5000      0         165         170         100       0              260          75            3           0            1             7           400         1600          100         2           160        20          3              0              6             6             6             6  
151       0      "Soldier"                            58      4000      0         175         180         110       0              290          86            3           0            4             7           400         1600          100         2           160        20          3              0              6             6             6             6  
200       0      "Soccer Ball"                        12      1000      0         150         200         0         0              60           500           0           0            4             1           500         1000          3           1           200        20          0              0              0             0             0             0  
230       1      "Wandering Merchant Alex"            2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
231       1      "Thompson Kenel"                     2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
232       1      "Archangel"                          2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
233       1      "Messenger of Archangel"             2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
234       1      "Pet Trainer"                        2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
235       1      "Sebina the Priest"                  2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
236       1      "Golden Archer"                      2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
237       1      "Charon"                             2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
238       1      "Chaos Goblin"                       2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
239       1      "Arena Guard"                        2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
240       1      "Safety Guardian"                    2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
241       1      "Royal Guard Captain Lorence"        2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
242       1      "Elf Lala"                           2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
243       1      "Eo the Craftsman"                   2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
244       1      "Caren the Barmaid"                  2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
245       1      "Wizard Izabel"                      2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
246       1      "Weapons Merchant Zienna"            20      1000      0         15          30          70        0              100          30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
247       1      "Guard"                              90      10000     0         1200        1300        70        20             60000          100           5           0            2             2           400         1500          10          1           200        10          0              0              0             0             0             0  
248       1      "Wandering Merchant Martin"          20      1000      0         15          30          70        0              100          30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
249       1      "Guard"                              90      10000     0         1200        1300        70        20             60000          100           5           0            5             5           400         1500          10          1           200        10          0              0              0             0             0             0  
250       1      "Wandering Merchant"                 20      1000      0         15          30          70        20             100          30            0           0            0             5           400         1000          10          0           200        10          0              0              0             0             0             0  
251       1      "Hanzo the Blacksmith"               20      1000      0         15          30          70        20             100          30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
253       1      "Potion Girl Amy"                    2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
254       1      "Pasi the Mage"                      2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0  
255       1      "Lumen the Barmaid"                  2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0 
end
