// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

// -----------------------------------------------------------
// Index   Message
// -----------------------------------------------------------
   66      "Has defeated the Nightmare Boss. You may now proceed to the Refinery Tower"
   67      "Because will limit the time crossed, will force to return the ridge security area"
   70      "Balgass has join forces with Kundun's army and preparing to attack Crywolf Fortress"
   71      "The army of Balgass is ready to attack Crywolf Fortress"
   72      "The army of Balgass is marching towards Crywolf Fortress"
   73      "The army of Balgass is approaching towards Crywolf Fortress"
   74      "Without the protection of the Muses, the statue of holy wolf will be stolen"
   75      "Balgass will be alive till the end of the battle"
   76      "Defending has failed! The statue of holy wolf has been taken over by Balgass"
   77      "Defending has been successful! The statue of holy wolf has been protected"
   78      "Wolf Altar contraction starts in %d second(s)"
   79      "Wolf Altar contraction begins in %d minute(s)"
   80      "Balgass's army will begin attack in %d second(s)"
   81      "Balgass's army will attack in %d minute(s)"
   82      "Without protection of elven statue of holy wolf was unprotected"
   83      "Balgass is coming! Protect the statue of holy wolf"
   84      "Balgass's army starts attacking the statue of holy wolf"
   85      "Balgass has been defeated with the help of heroes"
   86      "MvP rank: (%d)"
   87      "MvP rank: experience points (%d)"
   88      "Balgass has been killed by %s!"
   89      "Balgass is dead!"
   90      "Dark Elf (%d) of Balgass's army was killed by %s"
   91      "Current MvP point is : %d"
   92      "Connected to the pedestal (%d) of the Holy wolf"
   93      "(%s) connected the Muse to the pedestal (%d)"
   94      "The pedestal (%d) of Holy wolf has been connected"
   95      "The connecting time of pedestal (%d) has not started yet"
   96      "The time for connecting to pedestal (%d) of the holy wolf is over"
   97      "The position to connect to pedestal (%d) of the holy wolf is incorrect. Try again" 
   98      "%s is trying to contract altar %d"
   99      "You can start connecting in 5 seconds" 
   100     "Do not move until the connecting is completed"  
   101     "Connecting to the pedestal (%d) is canceled"
   102     "The barrier of the holy wolf statue has disappeared" 
   103     "Statistics of Muses in the holy wolf statue's barrier is %d, HP: %d" 
   104     "The barrier of the Holy Wolf statue has been created"
   105     "Connection requires a Muse level %d or higher"
   110     "Siege Warfare has been concluded"
   111     "Siege Warfare registration period commences"
   112     "All participating guilds for Siege Warfare: please register your Emblem of Lord"
   113     "The Guild selection period for Siege Warfare commences"		
   114     "Guilds have now been selected for Siege Warfare"
   115     "The Siege Warfare preparation period begins! All the guild members, please get ready"
   116     "Siege Warfare will start in %d minute(s)"
   117     "Siege Warfare is being waged!"
   118     "%s guild has succeeded in defending the castle"
   119     "%s guild became a new castle lord"
   120     "The castle lord has not been assigned"
   121     "Only the Guardian statue has been left"
   122     "You can not invoke Life Stone outside Castle Siege"
   123     "Only offensive alliance can invoke Life Stone"
   124     "A Life Stone has been invoked"
   125     "You can not invoke Life Stone inside Dragon Tower"
   126     "A Life Stone was successfully invoked"
   127     "A Life Stone failed to be invoked"
   128     "You can not invoke soldier out of Castle Siege"
   129     "Only defensive alliance can invoke soldier"
   130     "Only guild leader and his assistant can invoke soldier"
   131     "Maximum number of soldiers has been exceeded"
   132     "Soldier has been successfully invoked"
   133     "Soldier failed to be invoked"
   135     "Moss Merchant appeared!"
   136     "Moss Merchant left!"
   137     "Moss Merchant was retired since you can not buy"
   138     "You do not have enough space in the inventory"
   140     "Selupan has appeared. The Hatchery Gates will be closed in %d minute(s)"
   141     "The Hatchery Gate is closed, you cannot enter"
   142     "Selupan killed by %s"
   143     "Hatchery Gates will open in %d minute(s)"
   144     "The Hatchery Gate is opened!"
   145     "Hatchery Gate is closed"
   147     "Ice Walker appeared!"
   148     "You're not strong enough to enter in Double Goer"
   149     "Ice Walker was defeated!"
   151     "You're not strong enough to enter in Imperial Guardian"
   154     "Welcome back %s!"
   155     "Account type: Free"
   156     "Account type: Bronze (%s)"
   157     "Account type: Silver (%s)"
   158     "Account type: Gold (%s)"
   159     "La Diosa Yuki no permite entrar usando anillos de transformacion o monturas."
   160     "El aventurero que buscas no se encuentra conectado."
   161     "La Diosa Yuki no permite duelos en este momento."
   162     "El aventurero rechazo automaticamente el desafio."
   163     "Tu ya tienes un duelo pendiente."
   164     "El aventurero ya tiene un duelo pendiente."
   165     "No puedes desafiar a duelo durante una Guild War."
   166     "El aventurero no puede aceptar duelos durante una Guild War."
   167     "La Diosa Yuki prohibe los duelos en este mapa."
   168     "No puedes luchar en duelo durante Castle Siege."
   169     "El nombre del aventurero no es valido."
   170     "No puedes desafiar mientras estas en Self Defense."
   171     "El aventurero esta bajo Self Defense y no puede luchar."
   172     "El aventurero rechazo tu solicitud de duelo."
   173     "Todas las arenas estan ocupadas en este momento."
   174     "El duelo entre %s y %s ha comenzado! Que la Diosa Yuki guie el combate."
   175     "Arena %d [%s] (%d) VS (%d) [%s]"
   176     "%s ha vencido a %s en un duelo!"
   180     "Este comerciante aun no esta disponible."
   181     "Solo los elegidos por la Diosa Yuki pueden comprar aqui."
   182     "No posees los permisos necesarios para comprar aqui."
   183     "Has recibido Coin1: %d  Coin2: %d  Coin3: %d"
   184     "La Diosa Yuki no comercia con asesinos."
   190     "El aventurero %s fue nombrado Asistente del Guild Master por la voluntad de la Diosa Yuki."
   191     "El aventurero %s fue ascendido al rango de Battlemaster."
   192     "El aventurero %s volvio a ser miembro del Guild."
   193     "El destino del Guild %s fue actualizado al tipo %d."
   194     "Tu Guild ha formado una alianza con %s bajo la bendicion de la Diosa Yuki."
   195     "Tu Guild ha declarado como enemigo al Guild %s."
   196     "El Guild %s ha sellado una alianza con %s."
   197     "Tu Guild abandono la alianza."
   198     "El Guild %s abandono la alianza con %s."
   199     "Tu Guild ya no mantiene alianza con %s."
   200     "El Guild %s ya no es considerado un enemigo."
   201     "La alianza con %s ha sido disuelta."
   224     "La Diosa Yuki exige alcanzar al menos el nivel %d para viajar."
   225     "Necesitas al menos %d Zen para emprender este viaje."
   226     "La Diosa Yuki no permite viajar en este momento."
   227     "Los asesinos no pueden utilizar este traslado."
   228     "Tu equipamiento no es adecuado para viajar a este destino."
   229     "Solo los miembros de una familia Gens pueden viajar aqui."
   230     "Debes ser como maximo nivel %d para viajar."
   231     "Necesitas al menos %d resets para acceder a este destino."
   232     "Solo los aventureros con un maximo de %d resets pueden viajar aqui."
   240     "El Senior no esta disponible en este momento."
   241     "El Senior no puede utilizarse durante Castle Siege."
   242     "Solo el Guild dueno del castillo puede usar al Senior."
   243     "Solo el Guild Master puede utilizar al Senior."
   244     "El Guardsman no esta disponible durante Castle Siege."
   245     "Ya formas parte de un Guild."
   246     "La Diosa Yuki exige un nivel mayor para fundar un Guild."
   247     "La Diosa Yuki exige mas resets para fundar un Guild."
   257     "La Diosa Yuki exige al menos nivel 40 para usar este anillo."
   258     "La Diosa Yuki exige al menos nivel 80 para usar este anillo."
   259     "No puedes acceder a este mapa en este momento."
   260     "La Diosa Yuki no permite recoger este objeto ahora."
   261     "No puedes salir del juego con un Trade abierto."
   262     "No puedes salir del juego con el Chest abierto."
   263     "No puedes salir del juego con la Chaos Machine abierta."
   264     "No puedes salir del juego con el Trainer abierto."
   265     "No puedes salir del juego mientras estas en Self Defense."
   266     "Has alcanzado el nivel maximo permitido."
   267     "Has alcanzado el nivel Master maximo."
   268     "Solo puedes agregar %d puntos."
   269     "La Diosa Yuki ha silenciado tu voz durante %d minuto(s)."
   270     "No puedes enviarte mensajes a ti mismo."
   272     "La bendicion de la Diosa Yuki no pudo completar la teleportacion."
   273     "Seras teleportado en %d segundo(s)."
   274     "No puedes acceder a este mapa mientras montas una montura."
   275     "Necesitas usar alas para acceder a este mapa."
   276     "Regalo del Cash Shop."
   277     "%s obtuvo %d %s."
   280     "La Diosa Yuki ha ordenado el cierre del servidor."
   281     "El servidor cerrara automaticamente en %d segundo(s)."
   282     "Se detecto un objeto duplicado. Contacta con un Administrador."
   283     "Ya puedes volver a utilizar el chat."
   284     "La Self Defense contra %s ha comenzado."
   285     "La Self Defense contra %s ha finalizado."
   286     "El servidor cerrara automaticamente en %d minuto(s)."
   287     "El mundo volvera a abrir sus puertas en 10 segundo(s)."
   288     "Alguien inicio sesion con tu cuenta!"
   289     "Saliras del juego en %d segundo(s)."
   300     "Debes esperar %d segundo(s) antes de invocar %s nuevamente."
   301     "La Diosa Yuki aun no te concede el permiso para usar %s."
   302     "Debes alcanzar al menos el nivel %d para usar %s."
   303     "Solo los aventureros hasta nivel %d pueden usar %s."
   304     "Debes tener al menos %d resets para usar %s."
   305     "Solo los aventureros con un maximo de %d resets pueden usar %s."
   306     "Necesitas al menos %d Money para invocar %s."
   307     "Necesitas al menos %d Coin1 para usar %s."
   308     "Necesitas al menos %d Coin2 para usar %s."
   309     "Necesitas al menos %d Coin3 para usar %s."
   320     "Recepcion de solicitudes: Activada."
   321     "Recepcion de solicitudes: Desactivada."
   322     "Recepcion de solicitudes: Automatica."
   323     "[ANUNCIO][%d] %s"
   324     "Comando exclusivo para Dark Lord."
   325     "La bendicion de la Diosa Yuki no es suficiente para anadir mas puntos."
   326     "Has distribuido %d puntos. Restan %d por asignar."
   327     "Distribucion automatica de puntos: Activada (%d)"
   328     "Distribucion automatica de puntos: Desactivada."
   329     "La Diosa Yuki no ve oscuridad en tu alma."
   330     "La Diosa Yuki ha purificado tu alma. Ya no eres PK."
   331     "Has alcanzado la evolucion maxima."
   332     "La Diosa Yuki ha fortalecido tu destino! Evolucion completada."
   333     "You can not change chest at moment"
   334     "You have entered an invalid chest to change"
   335     "You moved to chest %d successfully"
   336     "La Diosa Yuki no permite realizar un Reset en este momento."
   337     "Debes alcanzar al menos el nivel %d para recibir la bendicion del Reset."
   338     "Necesitas al menos %d Zen para realizar el Reset."
   339     "Necesitas al menos %d Coin1 para realizar el Reset."
   340     "Necesitas al menos %d Coin2 para realizar el Reset."
   341     "Necesitas al menos %d Coin3 para realizar el Reset."
   342     "Has alcanzado el limite de %d Resets permitido por la Diosa Yuki."
   343     "La Diosa Yuki exige que retires todo tu equipamiento antes del Reset."
   344     "No tienes permiso para utilizar el Auto Reset."
   345     "Auto Reset: Activado."
   346     "Auto Reset: Desactivado."
   347     "Solo puedes realizar %d Resets por dia."
   348     "Solo puedes realizar %d Resets por semana."
   349     "Solo puedes realizar %d Resets por mes."
   350     "La Diosa Yuki ha renovado tu destino! Ahora posees %d Resets."
   351     "You can not master reset at time"
   352     "You must be at least level %d to master reset"
   353     "You must be at least %d reset to master reset"
   354     "You must have at least %d Zen to master reset"
   355     "You must have at least %d Coin1 to master reset"
   356     "You must have at least %d Coin2 to master reset"
   357     "You must have at least %d Coin3 to master reset"
   358     "You can not have more than %d master resets"
   359     "You can not master reset with items equipped"
   360     "You can only master reset %d times a day"
   361     "You can only master reset %d times a week"
   362     "You can only master reset %d times a month"
   363     "You successfully reseted, and now have %d master resets"
   364     "You cleared your inventory"
   365     "Points restored successfully!"
   366     "Only master level characters can use this command."
   367     "You have entered an invalid tree to reset"
   368     "You tree has been reset successfully!"
   369     "El aventurero seleccionado no existe o no esta conectado."
   370     "[%s] %s"
   371     "La Diosa Yuki ha materializado el objeto con exito!"
   372     "Los datos del aventurero fueron actualizados correctamente."
   373     "La Diosa Yuki ha modificado tu destino por medio del Game Master %s."
   374     "El Game Master %s ha modificado tus Coins por voluntad de la Diosa Yuki."
   375     "Las Coins fueron actualizadas correctamente."
   376     "El nivel de PK fue establecido correctamente."
   377     "Tu nivel de cuenta ha sido modificado."
   378     "El nivel de la cuenta fue establecido correctamente."
   379     "No se encontro el Guild seleccionado."
   380     "La Diosa Yuki prohibe invocar monstruos en una Zona Segura."
   381     "La invocacion del monstruo ha fallado."
   382     "La Diosa Yuki no permite invocar NPCs."
   383     "[PK] %s fue derrotado por %s!"
   384     "Necesitas al menos %d Coin1 para obtener este objeto."
   385     "Necesitas al menos %d Coin2 para obtener este objeto."
   386     "Necesitas al menos %d Coin3 para obtener este objeto."
   387     "La Diosa Yuki no permite usar este comando en este momento."
   388     "La joya utilizada no es valida."
   389     "El numero indicado no es valido."
   390     "No posees ese tipo de Jewel."
   391     "No posees esa cantidad de Jewels."
   392     "No tienes espacio suficiente en tu inventario."
   395     "La bendicion seleccionada no existe."
   400     "Halloween Event started"
   401     "Halloween Event finished"
   402     "Cherry Blossom Event started"
   403     "Cherry Blossom Event finished"
   450     "This command can only be activated outside the safe zone."
   451     "You have nothing configured, first configure the command."
   452     "Auto Pick: On (Items: %d Zen: %d Jewels: %d Exc: %d Set: %d)"
   453     "Auto Pick: Off"
   454     "[Auto Pick] Please enter the syntax."
   455     "[Auto Pick] Setted Slot: %d, Syntax: %s"
   456     "[Auto Pick] All settings were reset!"
   457     "[Auto Pick] Setted (Zen: %d Jewels: %d Exc: %d Set: %d)"
   458     "The maximum time that can pick automatically has been reached"
   459     "[Auto Pick] Syntax must be at least 4 characters!"
   460     "[Auto Pick] It cannot store more syntax!"
   500     "%s put the item %s +%d"
   501     "[%s] will close in %d minute(s)"
   502     "[%s] closed"
   503     "[%s] will start in %d minute(s)"
   504     "[%s] started"
   505     "[%s] finished"
   506     "[%s] %s is the winner"
   507     "[%s] You got in the %d position with %d points"
   508     "You can not enter the arena"
   509     "This arena is not currently open"
   510     "Exceeded maximum number of players"
   511     "You must be at least Level %d"
   512     "You must be a maximum of Level %d"
   513     "You must be at least Master Level %d"
   514     "You must be a maximum of Master Level %d"
   515     "You must be at least %d Resets"
   516     "You need to have a maximum of %d Resets"
   517     "You must be at least %d Master Resets"
   518     "You need to have a maximum of %d Master Resets"
   519     "His class is not allowed in the arena"
   525     "[%s] will start in %d minute(s)"
   526     "[%s] started"
   527     "[%s] finished"
   530     "Luke Helper appears in %d minute(s)"
   531     "Luke Helper appeared in %s!"
   532     "Find it to get a reward!"
   533     "Luke Helper left, nobody got lucky."
   534     "You are lucky, here your reward!"
   535     "Luke Helper was found by %s!"
   540     "You need to open the Personal Store before"
   541     "You can only activate the command in the safe zone"
   542     "Personal Shop is empty or items are without price"
   543     ".::BLESS STORE::."
   544     ".::SOUL STORE::."
   545     ".::LIFE STORE::."
   546     ".::CHAOS STORE::."
   547     ".::CREATION STORE::."
   548     ".::GUARDIAN STORE::."
   549     ".::HARMONY STORE::."
   550     ".::COIN1 STORE::."
   551     ".::COIN2 STORE::."
   552     ".::COIN3 STORE::."
   553     "This store sell Items for JEWEL OF BLESS"
   554     "This store sell Items for JEWEL OF SOUL"
   555     "This store sell Items for JEWEL OF LIFE"
   556     "This store sell Items for JEWEL OF CHAOS"
   557     "This store sell Items for JEWEL OF CREATION"
   558     "This store sell Items for JEWEL OF GUARDIAN"
   559     "This store sell Items for JEWEL OF HARMONY"
   560     "This store sell Items for COIN 1"
   561     "This store sell Items for COIN 2"
   562     "This store sell Items for COIN 3"
   570     "You can not use offline helper command with disabled helper!"
   571     "You cannot use the helper with attack command active!"
   572     "Auto attack disable!"
   573     "You cannot use the attack command with active helper!"
   574     "You can't use the command in this location"
   575     "You don't have any skill to use in auto attack"
   576     "Auto attack enable!"
   577     "You need to enable auto attack first"
   578     "The maximum time that can attack automatically has been reached"
   580     "La Diosa Yuki advierte que la invasion de Skeleton King ha comenzado!"
   581     "La Diosa Yuki anuncia la invasion de Red Dragon!"
   582     "La Diosa Yuki anuncia la invasion de Golden Great Dragon!"
   583     "La Diosa Yuki advierte que White Wizard ha iniciado su invasion!"
   584     "La invasion de Anio Nuevo ha comenzado! La Diosa Yuki protege el reino."
   585     "La invasion de Rabbits ha comenzado!"
   586     "La invasion de Verano ha comenzado!"
   587     "La invasion de Navidad ha comenzado! Que la bendicion de la Diosa Yuki los acompane."
   588     "La Diosa Yuki anuncia la llegada de Medusa!"
   590     "%s derroto a Skeleton King en %s bajo la bendicion de la Diosa Yuki!"
   591     "%s derroto a Red Dragon en %s!"
   592     "%s derroto a Golden Great Dragon en %s!"
   593     "%s derroto a White Wizard en %s!"
   594     "%s derroto a Cursed Santa en %s!"
   595     "%s derroto a Medusa en %s! La Diosa Yuki celebra la victoria."
   596     "La Diosa Yuki advierte que la invasion de Invoking Demons ha comenzado!"
   597     "La invasion de Egg ha comenzado!"
   600     "Give me Jewels and in return I will give you an item at random."
   601     "You do not have enough space in your inventory!"
   602     "Thank you, I hope to see you soon!"
   603     "This time you did not have luck!"
   605     "The gift entered was not found!"
   606     "You do not have the minimum level required to receive this gift."
   607     "You have exceeded the maximum level to receive this gift."
   608     "You do not have the minimum resets required to receive this gift."
   609     "You have exceeded the maximum resets to receive this gift."
   610     "You can not receive this gift!"
   611     "You can no longer receive this gift!"
   612     "Gift received successfully!"
   620     "Come back when you have at least %d %s!"
   650     "You can not marry yourself!"
   651     "You can not marry at this moment!"
   652     "You are already married to %s!"
   653     "%s is already married!"
   654     "Homosexual marriages are not allowed."
   655     "Both must be in front of the altar of the church in Devias!"
   656     "Both require %d %s to get married!"
   657     "[MARRIAGE] Your marriage proposal was sent!"
   658     "[MARRIAGE] %s wants to marry you!"
   659     "The time to accept the petition expired."
   660     "Your couple is gone."
   661     "Congratulations! You married with %s!"
   662     "Congratulations %s and %s who got married!"
   663     "You can not divorce at this time!"
   664     "You require %d %s to get divorce!"
   665     "His divorce was successful, good luck next time."
   666     "Your couple is not connected at this time!"
   667     "You can not go with your couple at this time!"
   668     "You can't follow your partner being a murderer!"
   670     "Account %s has been locked!"
   671     "Character %s has been locked!"
   674     "The plan entered was not found!"
   675     "You can not acquire this plan!"
   676     "You must be at least %d Money to acquire this plan!"
   677     "You must be at least %d Coin1 to acquire this plan!"
   678     "You must be at least %d Coin2 to acquire this plan!"
   679     "You must be at least %d Coin3 to acquire this plan!"
   680     "Plan acquired successfully!"
   685     "You were banned by the administrator!"
   686     "%s was blocked!"
   687     "%s was unblocked!"
   688     "You have %d day %d hour %d minute left on the outlaw status."
   689     "The new name must be at least 4 characters long"
   690     "You must be in the safe zone to use this command"
   691     "I can't use any interface when using this command"
   692     "An unexpected error occurred please try later"
   693     "This name is already in use, choose another"
   694     "The new name was established, changing character"
   695     "The name entered was not found in the database"
   696     "Character name entered is incorrect!"
   697     "The password entered is invalid"
   698     "Your friend has been disconnected!"
   699     "Enter the minutes that chat is blocked"
   700     "Chat of %s has been unlocked"
   701     "Chat of %s has been blocked for %d minutes"
   702     "Acheron Guardian will start in %d minute(s)"
   703     "The Acheron Guardian started"
   704     "The Acheron Guardian ended"
   705     "The Obelisk was destroyed by %s"
   706     "The masters registration period of Arca Battle began"
   707     "The members registration period of Arca Battle began"
   708     "The Arca Battle is ready to start"
   709     "The entrance to the Arca Battle is now available"
   710     "The Arca Battle started"
   711     "The Arca Battle ended"
   712     "First must leave your guild!"
   713     "You can only enter Blood Castle %d times in a day"
   714     "You can only enter Chaos Castle %d times in a day"
   715     "You can only enter Devil Square %d times in a day"
   716     "You can only enter Double Goer %d times in a day"
   717     "You can only enter Illusion Temple %d times in a day"
   718     "You can only enter Imperial Guardian %d times in a day"
   719     "Speed Hack was detected and a record was created."
   720     "Duel between %s and %s started!"
   721     "Duel [%s] (%d) VS (%d) [%s]"
   722     "Player %s won %s duel!"
   723     "You are using words not allowed on this server!"
   724     "Player %s won %d money!"
   725     "La Diosa Yuki anuncia que Devil Square abrira en %d minuto(s)."
   726     "[Devil Square] La Diosa Yuki anuncia que las puertas de Devil Square estan abiertas."
   727     "La Diosa Yuki anuncia que Blood Castle abrira en %d minuto(s)."
   728     "%d minute(s) left until Chaos Castle opens"
   729     "%d minute(s) left until Illusion Temple opens"
   730     "%d minute(s) left until Chaos Castle Survival opens"
   731     "%d minutes left to register as Guild Master for the Arca Battle"
   732     "%d minutes left to register as Guild member for the Arca Battle"
   733     "%d seconds left until the Arca Battle starts. Please wait in a safe area."
   734     "The Arca Battle has started. You can enter by talking to Sir Lesnar."
end
